Atgrp_name	class6	UNIPROT.class	UNIPROT.Organism
AT2Gr10000438	TE	NA	NA
AT2Gr10000439	TE	NA	NA
AT2Gr10000441	protein_tair10	Membrane / Transmembrane	Brassica cretica (Mustard)
AT2Gr10000443	TE	NA	NA
AT2Gr10000444	TE	NA	NA
AT2Gr10000445	TE	NA	NA
AT2Gr10000446	TE	NA	NA
AT2Gr10000447	TE	NA	NA
AT2Gr10000448	TE-like	Reverse transcriptase	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000449	TE	NA	NA
AT2Gr10000450	TE	NA	NA
AT2Gr10000452	TE	NA	NA
AT2Gr10000453	TE	NA	NA
AT2Gr10000454	TE	NA	NA
AT2Gr10000455	TE	NA	NA
AT2Gr10000456	TE	NA	NA
AT2Gr10000457	TE	NA	NA
AT2Gr10000458	TE	NA	NA
AT2Gr10000460	TE	NA	NA
AT2Gr10000462	TE	NA	NA
AT2Gr10000463	TE	NA	NA
AT2Gr10000464	TE	NA	NA
AT2Gr10000465	TE	NA	NA
AT2Gr10000466	TE	NA	NA
AT2Gr10000467	TE	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT2Gr10000468	TE	NA	NA
AT2Gr10000469	TE	NA	NA
AT2Gr10000470	TE	NA	NA
AT2Gr10000472	TE	NA	NA
AT2Gr10000473	TE	NA	NA
AT2Gr10000474	TE	NA	NA
AT2Gr10000475	TE	NA	NA
AT2Gr10000476	TE	NA	NA
AT2Gr10000477	TE	NA	NA
AT2Gr10000478	TE	NA	NA
AT2Gr10000479	TE	NA	NA
AT2Gr10000480	TE	NA	NA
AT2Gr10000481	TE-like	TE / Transposon / Transposase / DNA transposition	Arabidopsis arenosa (Sand rock-cress) (Cardaminopsis arenosa)
AT2Gr10000482	nucl_tair10	Zinc-finger / Zinc knuckle	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000483	TE	NA	NA
AT2Gr10000484	partial_or_no_homology	NA	NA
AT2Gr10000486	TE	NA	NA
AT2Gr10000487	TE	NA	NA
AT2Gr10000488	TE	NA	NA
AT2Gr10000489	TE	NA	NA
AT2Gr10000490	TE	NA	NA
AT2Gr10000491	TE	NA	NA
AT2Gr10000492	TE	NA	NA
AT2Gr10000493	TE	NA	NA
AT2Gr10000494	TE	NA	NA
AT2Gr10000495	TE	NA	NA
AT2Gr10000497	TE	NA	NA
AT2Gr10000498	TE	NA	NA
AT2Gr10000499	TE	NA	NA
AT2Gr10000500	TE	NA	NA
AT2Gr10000501	TE	NA	NA
AT2Gr10000502	TE	NA	NA
AT2Gr10000503	TE	NA	NA
AT2Gr10000504	nucl_tair10	Proteases / Peptidase	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000505	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000507	TE	NA	NA
AT2Gr10000508	TE	NA	NA
AT2Gr10000509	TE	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10000510	TE	NA	NA
AT2Gr10000511	TE	NA	NA
AT2Gr10000512	TE	NA	NA
AT2Gr10000513	TE	NA	NA
AT2Gr10000514	TE	NA	NA
AT2Gr10000515	nucl_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000516	TE	NA	NA
AT2Gr10000518	protein_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000520	TE	NA	NA
AT2Gr10000521	TE	NA	NA
AT2Gr10000522	TE	NA	NA
AT2Gr10000523	TE	NA	NA
AT2Gr10000524	TE	NA	NA
AT2Gr10000525	TE	NA	NA
AT2Gr10000526	TE	NA	NA
AT2Gr10000530	TE	NA	NA
AT2Gr10000531	partial_or_no_homology	NA	NA
AT2Gr10000533	partial_or_no_homology	NA	NA
AT2Gr10000534	TE	NA	NA
AT2Gr10000535	TE	NA	NA
AT2Gr10000536	TE	NA	NA
AT2Gr10000538	TE	NA	NA
AT2Gr10000539	TE	NA	NA
AT2Gr10000540	TE	NA	NA
AT2Gr10000541	TE	NA	NA
AT2Gr10000542	TE	NA	NA
AT2Gr10000543	partial_or_no_homology	NA	NA
AT2Gr10000544	TE	NA	NA
AT2Gr10000545	TE	NA	NA
AT2Gr10000546	partial_or_no_homology	NA	NA
AT2Gr10000547	protein_tair10	NA	NA
AT2Gr10000548	TE	NA	NA
AT2Gr10000549	TE	NA	NA
AT2Gr10000550	TE	NA	NA
AT2Gr10000551	TE	NA	NA
AT2Gr10000552	TE	NA	NA
AT2Gr10000554	TE	NA	NA
AT2Gr10000555	TE	NA	NA
AT2Gr10000556	protein_thaliana	DUF4283 domain-containing protein	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000557	TE	NA	NA
AT2Gr10000558	TE	NA	NA
AT2Gr10000559	TE	NA	NA
AT2Gr10000561	TE	NA	NA
AT2Gr10000562	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000563	TE	NA	NA
AT2Gr10000566	protein_thaliana	Other	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000567	TE	NA	NA
AT2Gr10000568	TE	NA	NA
AT2Gr10000569	partial_or_no_homology	NA	NA
AT2Gr10000570	TE	NA	NA
AT2Gr10000571	TE	NA	NA
AT2Gr10000572	TE	NA	NA
AT2Gr10000573	TE	NA	NA
AT2Gr10000574	TE	NA	NA
AT2Gr10000575	TE	NA	NA
AT2Gr10000577	TE	NA	NA
AT2Gr10000578	TE	NA	NA
AT2Gr10000579	TE	NA	NA
AT2Gr10000580	TE	NA	NA
AT2Gr10000582	TE	NA	NA
AT2Gr10000583	TE	NA	NA
AT2Gr10000584	protein_tair10	Membrane / Transmembrane	Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress)
AT2Gr10000585	TE	NA	NA
AT2Gr10000586	partial_or_no_homology	NA	NA
AT2Gr10000587	TE-like	TE / Transposon / Transposase / DNA transposition	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000588	TE	NA	NA
AT2Gr10000589	TE	NA	NA
AT2Gr10000590	TE	NA	NA
AT2Gr10000591	TE	NA	NA
AT2Gr10000592	TE	NA	NA
AT2Gr10000593	protein_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000594	TE	NA	NA
AT2Gr10000596	protein_thaliana	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000597	partial_or_no_homology	NA	NA
AT2Gr10000598	protein_tair10	Other	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000599	TE	TE / Transposon / Transposase / DNA transposition	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000600	TE	NA	NA
AT2Gr10000601	TE	NA	NA
AT2Gr10000602	TE	NA	NA
AT2Gr10000603	TE	NA	NA
AT2Gr10000604	protein_tair10	Zinc-finger / Zinc knuckle	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000605	TE	Proteases / Peptidase	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000606	TE	NA	NA
AT2Gr10000607	TE	NA	NA
AT2Gr10000608	TE	NA	NA
AT2Gr10000609	TE	NA	NA
AT2Gr10000610	TE	NA	NA
AT2Gr10000611	TE	NA	NA
AT2Gr10000612	TE	NA	NA
AT2Gr10000613	TE	NA	NA
AT2Gr10000614	TE	NA	NA
AT2Gr10000615	TE	NA	NA
AT2Gr10000617	partial_or_no_homology	NA	NA
AT2Gr10000618	partial_or_no_homology	NA	NA
AT2Gr10000619	TE	NA	NA
AT2Gr10000620	TE	NA	NA
AT2Gr10000621	TE	NA	NA
AT2Gr10000622	TE	NA	NA
AT2Gr10000623	TE	NA	NA
AT2Gr10000624	TE	NA	NA
AT2Gr10000625	TE	NA	NA
AT2Gr10000626	TE	NA	NA
AT2Gr10000627	partial_or_no_homology	NA	NA
AT2Gr10000628	TE	NA	NA
AT2Gr10000629	TE	NA	NA
AT2Gr10000630	TE	NA	NA
AT2Gr10000631	protein_thaliana	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000634	TE	NA	NA
AT2Gr10000635	TE	NA	NA
AT2Gr10000636	TE	NA	NA
AT2Gr10000638	TE	NA	NA
AT2Gr10000639	TE	NA	NA
AT2Gr10000640	TE	NA	NA
AT2Gr10000641	TE	NA	NA
AT2Gr10000642	TE	NA	NA
AT2Gr10000643	TE	NA	NA
AT2Gr10000644	TE	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10000646	nucl_tair10	Transcription factor	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000647	nucl_tair10	Transcription factor	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000648	nucl_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000649	nucl_tair10	Transcription factor	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000650	TE	NA	NA
AT2Gr10000652	nucl_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000654	TE	NA	NA
AT2Gr10000655	protein_tair10	Coiled coil	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000656	TE	Uncharacterized protein	Arabidopsis thaliana x Arabidopsis arenosa
AT2Gr10000657	TE	NA	NA
AT2Gr10000658	TE	NA	NA
AT2Gr10000659	TE	NA	NA
AT2Gr10000660	TE	Leucine-rich repeat	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10000661	TE	NA	NA
AT2Gr10000662	TE	NA	NA
AT2Gr10000663	partial_or_no_homology	NA	NA
AT2Gr10000665	TE	NA	NA
AT2Gr10000666	TE	NA	NA
AT2Gr10000667	TE	NA	NA
AT2Gr10000668	protein_tair10	Transferase	Arabidopsis thaliana x Arabidopsis arenosa
AT2Gr10000669	nucl_tair10	F-box	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000670	TE	NA	NA
AT2Gr10000671	TE	NA	NA
AT2Gr10000678	TE	NA	NA
AT2Gr10000680	nucl_tair10	NA	NA
AT2Gr10000681	TE	NA	NA
AT2Gr10000682	TE	NA	NA
AT2Gr10000685	TE	Metal-binding / Iron ion binding / Metal ion binding	Arabidopsis arenosa (Sand rock-cress) (Cardaminopsis arenosa)
AT2Gr10000687	TE	NA	NA
AT2Gr10000688	TE	NA	NA
AT2Gr10000690	TE	NA	NA
AT2Gr10000692	partial_or_no_homology	NA	NA
AT2Gr10000693	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000694	TE	NA	NA
AT2Gr10000695	TE	NA	NA
AT2Gr10000697	nucl_tair10	Zinc-finger / Zinc knuckle	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000698	TE	NA	NA
AT2Gr10000699	nucl_tair10	Zinc-finger / Zinc knuckle	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000702	TE	NA	NA
AT2Gr10000703	nucl_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000704	protein_tair10	Nucleus	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10000705	other_species	Membrane / Transmembrane	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10000706	protein_thaliana	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000707	TE	NA	NA
AT2Gr10000708	TE	NA	NA
AT2Gr10000709	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10000710	TE	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT2Gr10000715	partial_or_no_homology	NA	NA
AT2Gr10000717	TE	NA	NA
AT2Gr10000718	TE	NA	NA
AT2Gr10000719	TE	NA	NA
AT2Gr10000720	TE	NA	NA
AT2Gr10000721	TE	NA	NA
AT2Gr10000722	nucl_tair10	Membrane / Transmembrane	Arabidopsis thaliana x Arabidopsis arenosa
AT2Gr10000723	TE	NA	NA
AT2Gr10000724	TE	NA	NA
AT2Gr10000725	nucl_tair10	Transcription factor	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000726	TE	NA	NA
AT2Gr10000727	TE	NA	NA
AT2Gr10000732	TE-like	TE / Transposon / Transposase / DNA transposition	Microthlaspi erraticum
AT2Gr10000733	TE	NA	NA
AT2Gr10000734	TE	NA	NA
AT2Gr10000735	nucl_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000736	TE	NA	NA
AT2Gr10000737	TE	NA	NA
AT2Gr10000739	TE	NA	NA
AT2Gr10000741	TE	NA	NA
AT2Gr10000742	TE	NA	NA
AT2Gr10000743	TE	NA	NA
AT2Gr10000745	other_species	Zinc-finger / Zinc knuckle	Arabidopsis arenosa (Sand rock-cress) (Cardaminopsis arenosa)
AT2Gr10000746	TE	NA	NA
AT2Gr10000748	TE	NA	NA
AT2Gr10000750	protein_thaliana	Membrane / Transmembrane	Arabidopsis thaliana x Arabidopsis arenosa
AT2Gr10000751	TE	NA	NA
AT2Gr10000753	TE	NA	NA
AT2Gr10000754	TE	NA	NA
AT2Gr10000755	TE	NA	NA
AT2Gr10000756	protein_thaliana	Zinc-finger / Zinc knuckle	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000757	TE	NA	NA
AT2Gr10000759	protein_tair10	Zinc-finger / Zinc knuckle	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000762	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT2Gr10000763	TE	NA	NA
AT2Gr10000764	protein_thaliana	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000768	TE	NA	NA
AT2Gr10000769	TE	NA	NA
AT2Gr10000770	TE	NA	NA
AT2Gr10000772	TE	NA	NA
AT2Gr10000776	protein_tair10	DUF1204 domain-containing protein	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000780	TE	NA	NA
AT2Gr10000781	protein_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000782	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000788	TE	NA	NA
AT2Gr10000789	TE	NA	NA
AT2Gr10000790	TE	NA	NA
AT2Gr10000791	TE	NA	NA
AT2Gr10000793	TE	NA	NA
AT2Gr10000794	protein_tair10	Leucine-rich repeat	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10000795	TE	Leucine-rich repeat	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10000800	protein_thaliana	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000801	TE	NA	NA
AT2Gr10000802	TE	NA	NA
AT2Gr10000807	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10000812	other_species	Uncharacterized protein	Phaseolus angularis (Azuki bean) (Vigna angularis)
AT2Gr10000813	TE	NA	NA
AT2Gr10000814	TE	NA	NA
AT2Gr10000815	TE	NA	NA
AT2Gr10000817	TE	NA	NA
AT2Gr10000818	TE	NA	NA
AT2Gr10000820	TE	NA	NA
AT2Gr10000828	nucl_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000833	other_species	DUF4283 domain-containing protein	Arabidopsis arenosa (Sand rock-cress) (Cardaminopsis arenosa)
AT2Gr10000834	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT2Gr10000837	nucl_tair10	F-box	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000838	nucl_tair10	Transcription factor	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000840	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000842	TE	NA	NA
AT2Gr10000846	TE	NA	NA
AT2Gr10000847	TE	NA	NA
AT2Gr10000848	TE	NA	NA
AT2Gr10000850	protein_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000852	TE	NA	NA
AT2Gr10000853	TE	NA	NA
AT2Gr10000856	TE	NA	NA
AT2Gr10000857	TE	NA	NA
AT2Gr10000858	TE	NA	NA
AT2Gr10000859	TE	NA	NA
AT2Gr10000860	TE	NA	NA
AT2Gr10000861	TE	NA	NA
AT2Gr10000862	TE	NA	NA
AT2Gr10000865	TE	NA	NA
AT2Gr10000867	TE	NA	NA
AT2Gr10000868	TE	NA	NA
AT2Gr10000869	TE	NA	NA
AT2Gr10000870	TE	NA	NA
AT2Gr10000871	TE	NA	NA
AT2Gr10000873	partial_or_no_homology	NA	NA
AT2Gr10000874	TE	NA	NA
AT2Gr10000876	TE	Zinc-finger / Zinc knuckle	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000877	TE	NA	NA
AT2Gr10000881	nucl_tair10	DUF295 domain-containing protein	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000882	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT2Gr10000886	nucl_tair10	Proteases / Peptidase	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000887	nucl_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000888	protein_tair10	Zinc-finger / Zinc knuckle	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000889	TE	NA	NA
AT2Gr10000890	TE	NA	NA
AT2Gr10000891	TE	NA	NA
AT2Gr10000897	partial_or_no_homology	NA	NA
AT2Gr10000898	TE	NA	NA
AT2Gr10000907	protein_tair10	NA	NA
AT2Gr10000920	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10000921	TE	NA	NA
AT2Gr10000925	TE	NA	NA
AT2Gr10000935	TE	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10000938	TE	NA	NA
AT2Gr10000947	nucl_tair10	Zinc-finger / Zinc knuckle	Arabidopsis thaliana x Arabidopsis arenosa
AT2Gr10000948	TE	NA	NA
AT2Gr10000951	TE-like	TE / Transposon / Transposase / DNA transposition	Arabidopsis arenosa (Sand rock-cress) (Cardaminopsis arenosa)
AT2Gr10000968	partial_or_no_homology	NA	NA
AT2Gr10000969	partial_or_no_homology	NA	NA
AT2Gr10000983	TE	Reverse transcriptase	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000984	TE	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT2Gr10000992	nucl_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000993	protein_thaliana	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10000995	TE	NA	NA
AT2Gr10000996	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10000997	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10001012	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10001014	TE	NA	NA
AT2Gr10001024	nucl_tair10	Metal-binding / Iron ion binding / Metal ion binding	Arabidopsis thaliana x Arabidopsis arenosa
AT2Gr10001025	TE-like	Reverse transcriptase	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10001034	TE	NA	NA
AT2Gr10001041	TE	NA	NA
AT2Gr10001043	TE	NA	NA
AT2Gr10001044	TE	NA	NA
AT2Gr10001045	protein_tair10	Ribosomal protein	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10001048	TE	NA	NA
AT2Gr10001060	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10001064	protein_thaliana	Other	Arabidopsis thaliana x Arabidopsis arenosa
AT2Gr10001090	TE	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT2Gr10001092	TE	NA	NA
AT2Gr10001093	TE	NA	NA
AT2Gr10001094	TE	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10001100	other_species	NA	NA
AT2Gr10001101	TE	NA	NA
AT2Gr10001103	TE	NA	NA
AT2Gr10001115	TE	NA	NA
AT2Gr10001120	protein_thaliana	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10001138	TE	NA	NA
AT2Gr10001140	TE	NA	NA
AT2Gr10001150	TE	NA	NA
AT2Gr10001159	nucl_tair10	Other	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10001166	TE	Other	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10001174	TE-like	Reverse transcriptase	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10001183	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT2Gr10001184	TE	NA	NA
AT2Gr10001185	TE	NA	NA
AT2Gr10001187	nucl_tair10	Other	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10001188	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10001211	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10001214	TE	NA	NA
AT2Gr10001216	TE	NA	NA
AT2Gr10001224	TE	NA	NA
AT2Gr10001228	other_species	DUF4283 domain-containing protein	Arabidopsis arenosa (Sand rock-cress) (Cardaminopsis arenosa)
AT2Gr10001229	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT2Gr10001230	TE	NA	NA
AT2Gr10001231	TE	NA	NA
AT2Gr10001233	partial_or_no_homology	NA	NA
AT2Gr10001240	TE	NA	NA
AT2Gr10001242	protein_tair10	Other	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10001246	other_species	Other	Allacma fusca
AT2Gr10001251	TE-like	TE / Transposon / Transposase / DNA transposition	Arabidopsis thaliana x Arabidopsis arenosa
AT2Gr10001252	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT2Gr10001253	nucl_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10001254	nucl_tair10	NA	NA
AT2Gr10001255	TE	NA	NA
AT2Gr10001256	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10001260	partial_or_no_homology	NA	NA
AT2Gr10001261	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10001265	TE	NA	NA
AT2Gr10001271	TE	NA	NA
AT2Gr10001278	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10001289	nucl_tair10	Repeat	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10001292	partial_or_no_homology	NA	NA
AT2Gr10001294	protein_tair10	Proteases / Peptidase	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10001310	TE	NA	NA
AT2Gr10001311	nucl_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10001316	TE	NA	NA
AT2Gr10001317	TE	NA	NA
AT2Gr10001327	TE	NA	NA
AT2Gr10001332	TE	NA	NA
AT2Gr10001334	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10001352	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10001357	TE	NA	NA
AT2Gr10001358	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10001359	TE	NA	NA
AT2Gr10001361	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10001362	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10001365	TE	NA	NA
AT2Gr10001367	TE	NA	NA
AT2Gr10001368	partial_or_no_homology	NA	NA
AT2Gr10001384	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT2Gr10001386	TE	NA	NA
AT2Gr10001388	nucl_tair10	DUF1204 domain-containing protein	Arabidopsis thaliana x Arabidopsis arenosa
AT2Gr10001389	TE	NA	NA
AT2Gr10001390	TE	NA	NA
AT2Gr10001391	TE	NA	NA
AT2Gr10001392	protein_tair10	Signal peptide / Secreted	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10001393	nucl_tair10	Membrane / Transmembrane	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10001394	TE	NA	NA
AT2Gr10001401	TE	NA	NA
AT2Gr10001402	TE	NA	NA
AT2Gr10001403	TE	NA	NA
AT2Gr10001411	protein_thaliana	ATP binding	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10001412	TE-like	TE / Transposon / Transposase / DNA transposition	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10001413	TE-like	TE / Transposon / Transposase / DNA transposition	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10001414	nucl_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10001419	TE	NA	NA
AT2Gr10001422	protein_tair10	Plant defense	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10001424	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10001425	protein_tair10	Other	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10001434	protein_tair10	Zinc-finger / Zinc knuckle	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10001436	TE	NA	NA
AT2Gr10001440	protein_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10001446	TE	NA	NA
AT2Gr10001462	TE	NA	NA
AT2Gr10001464	nucl_tair10	NA	NA
AT2Gr10001477	nucl_tair10	Signal peptide / Secreted	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10001486	protein_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10001494	TE	NA	NA
AT2Gr10001495	TE	NA	NA
AT2Gr10001502	TE	NA	NA
AT2Gr10001507	TE	NA	NA
AT2Gr10001515	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT2Gr10001520	TE	NA	NA
AT2Gr10001524	TE	NA	NA
AT2Gr10001525	TE-like	TE / Transposon / Transposase / DNA transposition	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10001530	TE	NA	NA
AT2Gr10001531	TE	NA	NA
AT2Gr10001533	protein_tair10	Membrane / Transmembrane	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10001537	protein_tair10	Signal peptide / Secreted	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10001538	other_species	Uncharacterized protein	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT2Gr10001540	protein_tair10	Zinc-finger / Zinc knuckle	Brassica oleracea var. oleracea
AT2Gr10001548	TE	NA	NA
AT2Gr10001549	TE	NA	NA
AT2Gr10001555	protein_tair10	Other	Arabidopsis thaliana (Mouse-ear cress)
AT2Gr10001563	protein_tair10	Plant defense	Raphanus sativus (Radish) (Raphanus raphanistrum var. sativus)
AT2Gr10001564	TE	NA	NA
