group	V1	V2	V3	V4	V5	V6	V7	V8	V9	tair.only	len	simgr	dup	te	have.tair	not.detect	chr	cnv	is.te	category	annot	go	sv	in.sv	genes.tes$V9	Ar11_id	expressed_in_6909	expressed_nowhere	anyreads_in_6909	noreads_anywhere	nolocus_in_6909	N_acc_where_expressed	N_acc_where_readspresent
AT1Gr10002037	PanGen_Chr_1	Consensus	gene	19326559	19327384	.	+	.	ID=AT1Gr10002037	0	826		FALSE	1	0	0	1	1	TRUE	new_genes	TE	NA	826	1	ID=AT1Gr10002037	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002039	PanGen_Chr_1	Consensus	gene	19365781	19366521	.	+	.	ID=AT1Gr10002039	0	741		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	741	1	ID=AT1Gr10002039	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10002040	PanGen_Chr_1	Consensus	gene	19418561	19420478	.	+	.	ID=AT1Gr10002040	0	1918		FALSE	1	0	0	1	1	TRUE	new_genes	TE	NA	116	0.0604796663190824	ID=AT1Gr10002040	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002041	PanGen_Chr_1	Consensus	gene	19456282	19456714	.	+	.	ID=AT1Gr10002041	0	433		FALSE	1	0	0	1	1	TRUE	new_genes	TE	NA	433	1	ID=AT1Gr10002041	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002042	PanGen_Chr_1	Consensus	gene	19457204	19458137	.	+	.	ID=AT1Gr10002042	0	934		FALSE	1	0	0	1	1	TRUE	new_genes	TE	NA	934	1	ID=AT1Gr10002042	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002043	PanGen_Chr_1	Consensus	gene	19465311	19470225	.	+	.	ID=AT1Gr10002043	0	4915		FALSE	0.8	0	0	1	1	TRUE	new_genes	TE	NA	4915	1	ID=AT1Gr10002043	NA	FALSE	FALSE	FALSE	FALSE	FALSE	1	4
AT1Gr10002044	PanGen_Chr_1	Consensus	gene	19490247	19494293	.	+	.	ID=AT1Gr10002044	0	4047		TRUE	1	0	0	1	0	TRUE	new_genes	TE	NA	4047	1	ID=AT1Gr10002044	NA	FALSE	TRUE	FALSE	FALSE	FALSE	0	7
AT1Gr10002049	PanGen_Chr_1	Consensus	gene	19542533	19544330	.	+	.	ID=AT1Gr10002049	0	1798		FALSE	0.8	0	0	1	0	TRUE	new_genes	TE	NA	6	0.00333704115684093	ID=AT1Gr10002049	NA	FALSE	FALSE	FALSE	FALSE	FALSE	3	8
AT1Gr10002050	PanGen_Chr_1	Consensus	gene	19544417	19547223	.	+	.	ID=AT1Gr10002050	0	2807		FALSE	1	0	0	1	1	TRUE	new_genes	TE	NA	2679	0.954399714998219	ID=AT1Gr10002050	NA	FALSE	FALSE	TRUE	FALSE	FALSE	3	11
AT1Gr10002055	PanGen_Chr_1	Consensus	gene	19597189	19598374	.	+	.	ID=AT1Gr10002055	0	1186		FALSE	1	0	0	1	0	TRUE	new_genes	TE	NA	19	0.0160202360876897	ID=AT1Gr10002055	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002056	PanGen_Chr_1	Consensus	gene	19628868	19632820	.	+	.	ID=AT1Gr10002056	0	3953		FALSE	1	0	0	1	0	TRUE	new_genes	TE	NA	3953	1	ID=AT1Gr10002056	NA	FALSE	TRUE	FALSE	FALSE	FALSE	0	1
AT1Gr10002057	PanGen_Chr_1	Consensus	gene	19633461	19655169	.	+	.	ID=AT1Gr10002057	0	21709		FALSE	1	0	0	1	0	TRUE	new_genes	TE	NA	21709	1	ID=AT1Gr10002057	NA	FALSE	TRUE	TRUE	FALSE	FALSE	0	19
AT1Gr10002058	PanGen_Chr_1	Consensus	gene	19694454	19695312	.	+	.	ID=AT1Gr10002058	0	859		FALSE	0.3	0	0	1	1	FALSE	new_genes	TE-like	Reverse transcriptase	859	1	ID=AT1Gr10002058	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002060	PanGen_Chr_1	Consensus	gene	19719366	19719639	.	+	.	ID=AT1Gr10002060	0	274		FALSE	0	0	0	1	0	FALSE	new_genes	partial_or_no_homology	NA	2	0.0072992700729927	ID=AT1Gr10002060	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002061	PanGen_Chr_1	Consensus	gene	19719765	19720094	.	+	.	ID=AT1Gr10002061	0	330		FALSE	0	0	0	1	0	FALSE	new_genes	partial_or_no_homology	NA	31	0.0939393939393939	ID=AT1Gr10002061	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002063	PanGen_Chr_1	Consensus	gene	19764452	19767517	.	+	.	ID=AT1Gr10002063	0	3066		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	3066	1	ID=AT1Gr10002063	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10002064	PanGen_Chr_1	Consensus	gene	19773862	19774695	.	+	.	ID=AT1Gr10002064	0	834		FALSE	0	0	0	1	0	FALSE	new_genes	other_species	Membrane / Transmembrane	834	1	ID=AT1Gr10002064	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1
AT1Gr10002065	PanGen_Chr_1	Consensus	gene	19788775	19789074	.	+	.	ID=AT1Gr10002065	0	300		FALSE	0	0	0	1	1	FALSE	new_genes	partial_or_no_homology	NA	300	1	ID=AT1Gr10002065	NA	FALSE	FALSE	FALSE	FALSE	TRUE	4	5
AT1Gr10002066	PanGen_Chr_1	Consensus	gene	19802965	19810525	.	+	.	ID=AT1Gr10002066	0	7561		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	7561	1	ID=AT1Gr10002066	NA	FALSE	TRUE	TRUE	FALSE	FALSE	0	9
AT1Gr10002067	PanGen_Chr_1	Consensus	gene	19811932	19825751	.	+	.	ID=AT1Gr10002067	0	13820		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	13207	0.955643994211288	ID=AT1Gr10002067	NA	FALSE	FALSE	TRUE	FALSE	FALSE	2	10
AT1Gr10002068	PanGen_Chr_1	Consensus	gene	19831382	19831734	.	+	.	ID=AT1Gr10002068	0	353		FALSE	1	0	0	1	1	TRUE	new_genes	TE	NA	353	1	ID=AT1Gr10002068	NA	FALSE	FALSE	FALSE	FALSE	FALSE	2	3
AT1Gr10002069	PanGen_Chr_1	Consensus	gene	19832538	19832979	.	+	.	ID=AT1Gr10002069	0	442		FALSE	1	0	0	1	1	TRUE	new_genes	TE	NA	442	1	ID=AT1Gr10002069	NA	FALSE	FALSE	FALSE	FALSE	FALSE	2	6
AT1Gr10002070	PanGen_Chr_1	Consensus	gene	19841914	19842793	.	+	.	ID=AT1Gr10002070	0	880		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	880	1	ID=AT1Gr10002070	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10002071	PanGen_Chr_1	Consensus	gene	19843710	19843893	.	+	.	ID=AT1Gr10002071	0	184		FALSE	1	0	0	1	1	TRUE	new_genes	TE	NA	184	1	ID=AT1Gr10002071	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10002072	PanGen_Chr_1	Consensus	gene	19846407	19846790	.	+	.	ID=AT1Gr10002072	0	384		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	384	1	ID=AT1Gr10002072	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	1
AT1Gr10002073	PanGen_Chr_1	Consensus	gene	19855698	19857147	.	+	.	ID=AT1Gr10002073	0	1450		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	1202	0.828965517241379	ID=AT1Gr10002073	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002074	PanGen_Chr_1	Consensus	gene	19879350	19879985	.	+	.	ID=AT1Gr10002074	0	636		FALSE	1	0	0	1	1	TRUE	new_genes	TE	NA	636	1	ID=AT1Gr10002074	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002075	PanGen_Chr_1	Consensus	gene	19905734	19916102	.	+	.	ID=AT1Gr10002075	0	10369		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	10369	1	ID=AT1Gr10002075	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10002076	PanGen_Chr_1	Consensus	gene	19921260	19921894	.	+	.	ID=AT1Gr10002076	0	635		FALSE	1	0	0	1	1	TRUE	new_genes	TE	NA	635	1	ID=AT1Gr10002076	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	1
AT1Gr10002077	PanGen_Chr_1	Consensus	gene	19924745	19925392	.	+	.	ID=AT1Gr10002077	0	648		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	648	1	ID=AT1Gr10002077	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002078	PanGen_Chr_1	Consensus	gene	19926745	19926972	.	+	.	ID=AT1Gr10002078	0	228		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	228	1	ID=AT1Gr10002078	NA	FALSE	FALSE	FALSE	FALSE	TRUE	2	2
AT1Gr10002079	PanGen_Chr_1	Consensus	gene	19949553	19952084	.	+	.	ID=AT1Gr10002079	0	2532		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	2532	1	ID=AT1Gr10002079	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1
AT1Gr10002080	PanGen_Chr_1	Consensus	gene	20000917	20001198	.	+	.	ID=AT1Gr10002080	0	282		FALSE	1	0	0	1	0	TRUE	new_genes	TE	NA	282	1	ID=AT1Gr10002080	NA	FALSE	FALSE	FALSE	FALSE	FALSE	2	5
AT1Gr10002081	PanGen_Chr_1	Consensus	gene	20018764	20024951	.	+	.	ID=AT1Gr10002081	0	6188		TRUE	0	0	0	1	0	FALSE	new_genes	TE-like	Reverse transcriptase	6188	1	ID=AT1Gr10002081	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10002082	PanGen_Chr_1	Consensus	gene	20049083	20049409	.	+	.	ID=AT1Gr10002082	0	327		FALSE	1	0	0	1	1	TRUE	new_genes	TE	NA	327	1	ID=AT1Gr10002082	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002083	PanGen_Chr_1	Consensus	gene	20057593	20058753	.	+	.	ID=AT1Gr10002083	0	1161		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	1161	1	ID=AT1Gr10002083	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002084	PanGen_Chr_1	Consensus	gene	20059530	20060573	.	+	.	ID=AT1Gr10002084	0	1044		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	1044	1	ID=AT1Gr10002084	NA	FALSE	TRUE	FALSE	FALSE	FALSE	0	1
AT1Gr10002085	PanGen_Chr_1	Consensus	gene	20095277	20099385	.	+	.	ID=AT1Gr10002085	0	4109		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	4109	1	ID=AT1Gr10002085	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002086	PanGen_Chr_1	Consensus	gene	20100455	20103801	.	+	.	ID=AT1Gr10002086	0	3347		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	3347	1	ID=AT1Gr10002086	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002087	PanGen_Chr_1	Consensus	gene	20117027	20117305	.	+	.	ID=AT1Gr10002087	0	279		FALSE	1	0	0	1	1	TRUE	new_genes	TE	NA	279	1	ID=AT1Gr10002087	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10002088	PanGen_Chr_1	Consensus	gene	20140956	20143288	.	+	.	ID=AT1Gr10002088	0	2333		FALSE	0.9	0	0	1	0	TRUE	new_genes	TE	NA	0	0	ID=AT1Gr10002088	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10002089	PanGen_Chr_1	Consensus	gene	20185675	20193518	.	+	.	ID=AT1Gr10002089	0	7844		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	5420	0.690973992860785	ID=AT1Gr10002089	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002090	PanGen_Chr_1	Consensus	gene	20206734	20208914	.	+	.	ID=AT1Gr10002090	0	2181		FALSE	1	0	0	1	1	TRUE	new_genes	TE	NA	222	0.101788170563961	ID=AT1Gr10002090	NA	FALSE	TRUE	FALSE	FALSE	FALSE	0	2
AT1Gr10002091	PanGen_Chr_1	Consensus	gene	20258845	20260163	.	+	.	ID=AT1Gr10002091	0	1319		TRUE	0.2	0	0	1	0	FALSE	new_genes	nucl_tair10	Uncharacterized protein	189	0.143290371493556	ID=AT1Gr10002091	NA	FALSE	TRUE	FALSE	FALSE	FALSE	0	2
AT1Gr10002092	PanGen_Chr_1	Consensus	gene	20266173	20266741	.	+	.	ID=AT1Gr10002092	0	569		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	569	1	ID=AT1Gr10002092	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	1
AT1Gr10002093	PanGen_Chr_1	Consensus	gene	20269480	20270048	.	+	.	ID=AT1Gr10002093	0	569		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	569	1	ID=AT1Gr10002093	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	1
AT1Gr10002094	PanGen_Chr_1	Consensus	gene	20281238	20284708	.	+	.	ID=AT1Gr10002094	0	3471		TRUE	1	0	0	1	0	TRUE	new_genes	TE	NA	1419	0.408815903197926	ID=AT1Gr10002094	NA	FALSE	TRUE	TRUE	FALSE	FALSE	0	17
AT1Gr10002095	PanGen_Chr_1	Consensus	gene	20292326	20294087	.	+	.	ID=AT1Gr10002095	0	1762		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	1	0.000567536889897843	ID=AT1Gr10002095	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002096	PanGen_Chr_1	Consensus	gene	20363060	20363553	.	+	.	ID=AT1Gr10002096	0	494		FALSE	1	0	0	1	1	TRUE	new_genes	TE	NA	0	0	ID=AT1Gr10002096	NA	TRUE	FALSE	TRUE	FALSE	FALSE	2	3
AT1Gr10002097	PanGen_Chr_1	Consensus	gene	20379686	20380334	.	+	.	ID=AT1Gr10002097	0	649		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	0	0	ID=AT1Gr10002097	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002098	PanGen_Chr_1	Consensus	gene	20416501	20417212	.	+	.	ID=AT1Gr10002098	0	712		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	13	0.0182584269662921	ID=AT1Gr10002098	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002099	PanGen_Chr_1	Consensus	gene	20501235	20504007	.	+	.	ID=AT1Gr10002099	0	2773		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	71	0.0256040389469888	ID=AT1Gr10002099	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10002101	PanGen_Chr_1	Consensus	gene	20571428	20576428	.	+	.	ID=AT1Gr10002101	0	5001		FALSE	1	0	0	1	1	TRUE	new_genes	TE	NA	4804	0.960607878424315	ID=AT1Gr10002101	NA	FALSE	TRUE	FALSE	FALSE	FALSE	0	1
AT1Gr10002102	PanGen_Chr_1	Consensus	gene	20589698	20593846	.	+	.	ID=AT1Gr10002102	0	4149		TRUE	0	0	0	1	1	FALSE	new_genes	nucl_tair10	Zinc-finger / Zinc knuckle	4149	1	ID=AT1Gr10002102	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10002105	PanGen_Chr_1	Consensus	gene	20645099	20645815	.	+	.	ID=AT1Gr10002105	0	717		FALSE	1	0	0	1	0	TRUE	new_genes	TE	NA	1	0.00139470013947001	ID=AT1Gr10002105	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002110	PanGen_Chr_1	Consensus	gene	20702791	20705813	.	+	.	ID=AT1Gr10002110	0	3023		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	3023	1	ID=AT1Gr10002110	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	1
AT1Gr10002112	PanGen_Chr_1	Consensus	gene	20718994	20720843	.	+	.	ID=AT1Gr10002112	0	1850		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	1807	0.976756756756757	ID=AT1Gr10002112	NA	FALSE	FALSE	FALSE	FALSE	FALSE	7	13
AT1Gr10002114	PanGen_Chr_1	Consensus	gene	20723153	20724439	.	+	.	ID=AT1Gr10002114	0	1287		TRUE	1	0	0	1	1	TRUE	new_genes	TE	TE / Transposon / Transposase / DNA transposition	1287	1	ID=AT1Gr10002114	NA	FALSE	FALSE	TRUE	FALSE	FALSE	4	14
AT1Gr10002116	PanGen_Chr_1	Consensus	gene	20772805	20773577	.	+	.	ID=AT1Gr10002116	0	773		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	773	1	ID=AT1Gr10002116	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002117	PanGen_Chr_1	Consensus	gene	20778903	20779393	.	+	.	ID=AT1Gr10002117	0	491		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	491	1	ID=AT1Gr10002117	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002118	PanGen_Chr_1	Consensus	gene	20812790	20815425	.	+	.	ID=AT1Gr10002118	0	2636		TRUE	0	0	0	1	1	FALSE	new_genes	nucl_tair10	Zinc-finger / Zinc knuckle	2636	1	ID=AT1Gr10002118	NA	FALSE	FALSE	FALSE	FALSE	TRUE	2	2
AT1Gr10002119	PanGen_Chr_1	Consensus	gene	20816562	20822962	.	+	.	ID=AT1Gr10002119	0	6401		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	6401	1	ID=AT1Gr10002119	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	1
AT1Gr10002122	PanGen_Chr_1	Consensus	gene	20844092	20849322	.	+	.	ID=AT1Gr10002122	0	5231		TRUE	0.1	0	0	1	0	FALSE	new_genes	TE-like	Reverse transcriptase	5231	1	ID=AT1Gr10002122	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10002128	PanGen_Chr_1	Consensus	gene	20923272	20925546	.	+	.	ID=AT1Gr10002128	0	2275		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	2275	1	ID=AT1Gr10002128	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10002129	PanGen_Chr_1	Consensus	gene	20927658	20929079	.	+	.	ID=AT1Gr10002129	0	1422		FALSE	0	0	0	1	1	FALSE	new_genes	TE-like	Reverse transcriptase	1422	1	ID=AT1Gr10002129	NA	FALSE	FALSE	FALSE	FALSE	TRUE	4	4
AT1Gr10002130	PanGen_Chr_1	Consensus	gene	20955560	20955913	.	+	.	ID=AT1Gr10002130	0	354		FALSE	0	0	0	1	0	FALSE	new_genes	partial_or_no_homology	NA	13	0.0367231638418079	ID=AT1Gr10002130	NA	FALSE	FALSE	FALSE	FALSE	FALSE	7	14
AT1Gr10002131	PanGen_Chr_1	Consensus	gene	20962033	20971680	.	+	.	ID=AT1Gr10002131	0	9648		FALSE	1	0	0	1	0	TRUE	new_genes	TE	NA	9648	1	ID=AT1Gr10002131	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10002133	PanGen_Chr_1	Consensus	gene	21019502	21021354	.	+	.	ID=AT1Gr10002133	0	1853		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	1853	1	ID=AT1Gr10002133	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002135	PanGen_Chr_1	Consensus	gene	21066997	21075632	.	+	.	ID=AT1Gr10002135	0	8636		FALSE	0.2	0	0	1	1	FALSE	new_genes	TE-like	Reverse transcriptase	8636	1	ID=AT1Gr10002135	NA	FALSE	FALSE	FALSE	FALSE	TRUE	3	6
AT1Gr10002137	PanGen_Chr_1	Consensus	gene	21083702	21085293	.	+	.	ID=AT1Gr10002137	0	1592		TRUE	1	0	0	1	0	TRUE	new_genes	TE	NA	1592	1	ID=AT1Gr10002137	NA	FALSE	TRUE	FALSE	FALSE	FALSE	0	2
AT1Gr10002138	PanGen_Chr_1	Consensus	gene	21096822	21097496	.	+	.	ID=AT1Gr10002138	0	675		TRUE	1	0	0	1	0	TRUE	new_genes	TE	Reverse transcriptase	675	1	ID=AT1Gr10002138	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10002142	PanGen_Chr_1	Consensus	gene	21151718	21153162	.	+	.	ID=AT1Gr10002142	0	1445		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	1445	1	ID=AT1Gr10002142	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002143	PanGen_Chr_1	Consensus	gene	21153286	21171297	.	+	.	ID=AT1Gr10002143	0	18012		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	18012	1	ID=AT1Gr10002143	NA	FALSE	TRUE	TRUE	FALSE	FALSE	0	2
AT1Gr10002144	PanGen_Chr_1	Consensus	gene	21187501	21198642	.	+	.	ID=AT1Gr10002144	0	11142		FALSE	1	0	0	1	1	TRUE	new_genes	TE	NA	11142	1	ID=AT1Gr10002144	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10002145	PanGen_Chr_1	Consensus	gene	21212836	21217060	.	+	.	ID=AT1Gr10002145	0	4225		TRUE	0.9	0	0	1	1	TRUE	new_genes	TE	Reverse transcriptase	4225	1	ID=AT1Gr10002145	NA	FALSE	TRUE	TRUE	FALSE	FALSE	0	2
AT1Gr10002146	PanGen_Chr_1	Consensus	gene	21217757	21218575	.	+	.	ID=AT1Gr10002146	0	819		FALSE	1	0	0	1	1	TRUE	new_genes	TE	NA	819	1	ID=AT1Gr10002146	NA	FALSE	TRUE	TRUE	FALSE	FALSE	0	2
AT1Gr10002147	PanGen_Chr_1	Consensus	gene	21221134	21221989	.	+	.	ID=AT1Gr10002147	0	856		FALSE	0	0	0	1	1	FALSE	new_genes	protein_tair10	Transferase	783	0.914719626168224	ID=AT1Gr10002147	NA	FALSE	FALSE	FALSE	FALSE	FALSE	2	2
AT1Gr10002149	PanGen_Chr_1	Consensus	gene	21226986	21233936	.	+	.	ID=AT1Gr10002149	0	6951		FALSE	1	0	0	1	0	TRUE	new_genes	TE	Zinc-finger / Zinc knuckle	6677	0.960581211336498	ID=AT1Gr10002149	NA	FALSE	FALSE	TRUE	FALSE	FALSE	3	17
AT1Gr10002150	PanGen_Chr_1	Consensus	gene	21248052	21251179	.	+	.	ID=AT1Gr10002150	0	3128		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	883	0.282289002557545	ID=AT1Gr10002150	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002152	PanGen_Chr_1	Consensus	gene	21332782	21333369	.	+	.	ID=AT1Gr10002152	0	588		FALSE	1	0	0	1	0	TRUE	new_genes	TE	NA	588	1	ID=AT1Gr10002152	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002153	PanGen_Chr_1	Consensus	gene	21358173	21368537	.	+	.	ID=AT1Gr10002153	0	10365		FALSE	1	0	0	1	0	TRUE	new_genes	TE	NA	7734	0.74616497829233	ID=AT1Gr10002153	NA	FALSE	FALSE	TRUE	FALSE	FALSE	1	6
AT1Gr10002154	PanGen_Chr_1	Consensus	gene	21373119	21377426	.	+	.	ID=AT1Gr10002154	0	4308		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	4308	1	ID=AT1Gr10002154	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10002155	PanGen_Chr_1	Consensus	gene	21384123	21384615	.	+	.	ID=AT1Gr10002155	0	493		FALSE	0.9	0	0	1	0	TRUE	new_genes	TE	NA	9	0.0182555780933063	ID=AT1Gr10002155	NA	TRUE	FALSE	TRUE	FALSE	FALSE	6	9
AT1Gr10002156	PanGen_Chr_1	Consensus	gene	21388976	21394043	.	+	.	ID=AT1Gr10002156	0	5068		TRUE	1	0	0	1	1	TRUE	new_genes	TE	Reverse transcriptase	5068	1	ID=AT1Gr10002156	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10002158	PanGen_Chr_1	Consensus	gene	21491642	21492536	.	+	.	ID=AT1Gr10002158	0	895		TRUE	0	0	0	1	1	FALSE	new_genes	TE-like	Reverse transcriptase	895	1	ID=AT1Gr10002158	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	1
AT1Gr10002159	PanGen_Chr_1	Consensus	gene	21492650	21493303	.	+	.	ID=AT1Gr10002159	0	654		FALSE	0.9	0	0	1	1	TRUE	new_genes	TE	Reverse transcriptase	654	1	ID=AT1Gr10002159	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	1
AT1Gr10002164	PanGen_Chr_1	Consensus	gene	21555567	21555962	.	+	.	ID=AT1Gr10002164	0	396		FALSE	1	0	0	1	0	TRUE	new_genes	TE	NA	396	1	ID=AT1Gr10002164	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10002166	PanGen_Chr_1	Consensus	gene	21582469	21583253	.	+	.	ID=AT1Gr10002166	0	785		FALSE	1	0	0	1	0	TRUE	new_genes	TE	NA	785	1	ID=AT1Gr10002166	NA	FALSE	TRUE	FALSE	FALSE	FALSE	0	1
AT1Gr10002167	PanGen_Chr_1	Consensus	gene	21584074	21585408	.	+	.	ID=AT1Gr10002167	0	1335		FALSE	0.8	0	0	1	0	TRUE	new_genes	TE	NA	1335	1	ID=AT1Gr10002167	NA	FALSE	FALSE	FALSE	FALSE	FALSE	1	4
AT1Gr10002168	PanGen_Chr_1	Consensus	gene	21587560	21595496	.	+	.	ID=AT1Gr10002168	0	7937		FALSE	1	0	0	1	0	TRUE	new_genes	TE	NA	7396	0.931838226029986	ID=AT1Gr10002168	NA	FALSE	FALSE	FALSE	FALSE	FALSE	1	2
AT1Gr10002169	PanGen_Chr_1	Consensus	gene	21637469	21638031	.	+	.	ID=AT1Gr10002169	0	563		FALSE	0	0	0	1	0	FALSE	new_genes	other_species	Zinc-finger / Zinc knuckle	563	1	ID=AT1Gr10002169	NA	TRUE	FALSE	TRUE	FALSE	FALSE	26	26
AT1Gr10002171	PanGen_Chr_1	Consensus	gene	21673011	21677889	.	+	.	ID=AT1Gr10002171	0	4879		FALSE	0	0	0	1	0	FALSE	new_genes	protein_tair10	Plant defense	4879	1	ID=AT1Gr10002171	NA	FALSE	FALSE	FALSE	FALSE	FALSE	1	10
AT1Gr10002172	PanGen_Chr_1	Consensus	gene	21678975	21684268	.	+	.	ID=AT1Gr10002172	0	5294		FALSE	0.3	0	0	1	1	FALSE	new_genes	protein_tair10	Uncharacterized protein	4115	0.777295051001133	ID=AT1Gr10002172	NA	FALSE	FALSE	FALSE	FALSE	FALSE	2	11
AT1Gr10002173	PanGen_Chr_1	Consensus	gene	21684390	21690860	.	+	.	ID=AT1Gr10002173	0	6471		FALSE	0.2	0	0	1	1	FALSE	new_genes	TE-like	Reverse transcriptase	6471	1	ID=AT1Gr10002173	NA	FALSE	FALSE	FALSE	FALSE	TRUE	3	10
